Ticker,Sector,t-test,mann-whitney,kruskal,CAR,Volatility
ITC.NS,FMCG & Agri-linked,0.08616252107624876,0.2745501545255432,0.27451400091861844,-0.08485299703598921,0.016046348501845147
TATACONSUM.NS,FMCG & Agri-linked,0.6660468837496767,0.31379839916444874,0.3137588555039036,-0.32158297735794317,0.019873919699396652
DABUR.NS,FMCG & Agri-linked,0.007226628244320252,0.0010873145135219479,0.001086998414748083,0.21370131378268462,0.01506059053503474
GODREJCP.NS,FMCG & Agri-linked,0.9106564422267742,0.6899088026777844,0.6898481509241058,0.16837324008259788,0.019957970053158136
NTPC.NS,Infrastructure & Power,0.654629920145791,0.6578125927454755,0.6577530530111021,-0.19660326185242671,0.016758982462009204
POWERGRID.NS,Infrastructure & Power,0.6076904797730275,0.7645256935444964,0.764462898091328,-0.07870324920248808,0.015326303369729496
ADANIPORTS.NS,Infrastructure & Power,0.28923296171562884,0.23056204589629992,0.2305300370418848,0.02587231719304612,0.023419593118933588
LT.NS,Infrastructure & Power,0.78775383057576,0.43995127114489885,0.4399025301466558,-0.08666360845892179,0.01741844013475779
ICICIGI.NS,Insurance & Finance,0.8323275508333117,0.4187148114272785,0.4185932142997355,0.2070853645800697,0.019059438041664458
HDFCLIFE.NS,Insurance & Finance,0.17550790240781614,0.1018276502248111,0.10178218390995027,0.19298906707773478,0.018728469351282532
SBILIFE.NS,Insurance & Finance,0.4533673477651703,0.7743892295331651,0.7742270028644204,-0.08674791746417106,0.017904737361022122
BAJFINANCE.NS,Insurance & Finance,0.05704058515144973,0.09161195476013896,0.09159612679073795,0.34708162155079886,0.0231416101702898
IOC.NS,"Oil, Gas & Petrochemicals",0.23915870635816236,0.05071282560633222,0.05070308979871317,0.16883576757240976,0.019878786004741633
ONGC.NS,"Oil, Gas & Petrochemicals",0.4642391639036597,0.5386816859111138,0.538627319986919,-0.08001171713866961,0.02106792915337461
HINDPETRO.NS,"Oil, Gas & Petrochemicals",0.2138653385015153,0.14635615084730216,0.14633328177867674,0.43115572663733387,0.02444774295894791
BPCL.NS,"Oil, Gas & Petrochemicals",0.6012867573739789,0.5191828223408579,0.5191294670929195,0.4357999503440633,0.02196161185429392
SCI.NS,Shipping & Logistics,0.21513103192962627,0.15296086883553373,0.15293721641295208,-0.30695462066849477,0.02875781431294922
CONCOR.NS,Shipping & Logistics,0.49952729945571406,0.35738492832119995,0.3573419288246258,0.17270959452838375,0.02004390146487545
NATIONALUM.NS,State-Specific PSUs,0.7574342744620443,0.7208452845667053,0.7207836695950633,-0.18588247824750787,0.026557636478057086
VISASTEEL.NS,Unclassified,0.7594895509732259,0.9892929032502781,0.9892272195414168,-0.7124692814644396,0.03486000515402595
